マスター,地名,センター,普通ごみ,資源ごみ,容器包装 プラスチック,古紙 衣類
24,津守1丁目10〜12番,南部環境事業センター,火 金,月,木,木
24,津守1丁目7・13・14番,南部環境事業センター,月 木,水,土,土
24,津守1丁目 軽四輪車(小さい車)で収集している地域,南部環境事業センター,火 金,月,木,土
24,津守2丁目1番,南部環境事業センター,火 金,水,土,土
24,津守2丁目2～8番,南部環境事業センター,月 木,水,土,土
24,津守3丁目,南部環境事業センター,月 木,水,土,土
24,鶴見橋1～3丁目,南部環境事業センター,火 金,月,木,木
24,出城1～3丁目,南部環境事業センター,火 金,月,木,木
24,天下茶屋1丁目32番26・28〜31号,南部環境事業センター,月 木,火,金,月
24,天下茶屋1～3丁目(1丁目32番26・28〜31号以外),南部環境事業センター,月 木,火,金,金
24,天下茶屋北1・2丁目,南部環境事業センター,月 木,水,土,土
24,天下茶屋東1・2丁目,南部環境事業センター,月 木,水,土,金
24,天神ノ森1・2丁目,南部環境事業センター,月 木,火,金,金
24,長橋1～3丁目,南部環境事業センター,火 金,月,木,木
24,中開1～3丁目,南部環境事業センター,火 金,月,木,木
24,梅南1～3丁目,南部環境事業センター,火 金,月,木,月
24,萩之茶屋1～3丁目,南部環境事業センター,月 木,水,土,土
24,花園北1丁目,南部環境事業センター,月 木,水,土,土
24,花園北2丁目,南部環境事業センター,火 金,水,土,土
24,花園南1・2丁目,南部環境事業センター,火 金,月,木,月
24,松1～3丁目,南部環境事業センター,火 金,月,木,月
24,南津守1丁目,南部環境事業センター,月 木,水,土,土
24,南津守2・5丁目,南部環境事業センター,月 木,水,土,火
24,南津守3・4丁目,南部環境事業センター,月 木,火,金,火
24,南津守6・7丁目,南部環境事業センター,月 木,水,土,火
24,南開1・2丁目,南部環境事業センター,火 金,月,木,木
