label,sublabel,description,styles,bgcolor
容器包装 プラスチック,,,img/moyasanai02.svg,#733b96
資源ごみ,,,img/shigen02.svg,#77ae1f
普通ごみ,,,img/moyasu02.svg,#ea3b13
古紙 衣類,,,img/bin02.svg,#2dc7aa
